YEAR,RACEID,DRIVERID,AVG(MILLISECONDS)
2010,345,17,108872.125000
2010,353,10,237563.451613
2010,354,3,79255.253521
2010,355,9,109379.327273
2010,347,5,84909.482143
2010,347,16,81266.584615
2010,346,29,102737.140000
2010,346,812,102724.760000
2010,346,17,97657.692308
2010,353,155,185067.254545
2010,344,24,82357.014493
2010,344,808,83902.367647
2010,343,808,94139.543860
2010,343,30,92391.896552
2010,343,1,91855.517241
2010,342,16,84875.961538
2010,341,10,92558.317460
2010,340,812,124211.750000
2010,353,15,271822.240000
2010,355,808,109461.036364
2010,355,22,109718.600000
2010,355,3,109228.800000
2010,355,1,108854.527273
2010,354,810,90721.435484
2010,354,153,80356.885714
2010,354,67,80546.971429
2010,354,17,78817.549296
2010,354,30,79369.845070
2010,353,811,190764.226415
2010,353,16,198618.456522
2010,353,17,315163.500000
2010,353,18,185286.345455
2010,352,20,102402.320755
2010,338,153,98066.068966
2010,343,20,92351.307692
2010,342,10,91943.045455
2010,342,17,84786.602564
2010,342,20,84792.346154
2010,342,18,116397.000000
2010,341,37,96747.500000
2010,341,812,94140.888889
2010,341,808,88927.800000
2010,341,807,89758.093750
2010,341,1,87176.125000
2010,340,811,120521.833333
2010,340,15,151105.961538
2010,338,10,104031.195122
2010,338,37,98114.051724
2010,338,5,101591.767857
2010,351,5,119094.931034
2010,338,808,128421.222222
2010,338,22,97880.465517
2010,338,3,97124.379310
2010,337,810,134237.500000
2010,337,15,129372.630435
2010,337,20,122432.551020
2010,337,153,123531.673469
2010,338,18,96836.741379
2010,338,4,97117.844828
2010,338,16,125631.666667
2010,339,18,101184.464286
2010,339,30,103576.222222
2010,339,9,100839.303571
2010,339,24,116676.583333
2010,340,1,114351.660714
2010,341,24,89217.875000
2010,338,810,150429.192308
2010,339,17,100633.732143
2010,340,30,115427.000000
2010,340,3,114493.696429
2010,340,22,115461.214286
2010,340,16,115447.089286
2010,340,37,125886.142857
2010,341,18,87997.409091
2010,338,811,152461.750000
2010,342,3,84871.871795
2010,342,37,91186.333333
2010,343,13,92487.155172
2010,343,4,92658.000000
2010,343,807,94634.561404
2010,343,67,94468.105263
2010,343,811,98178.586957
2010,344,1,80477.942857
2010,338,24,97868.586207
2010,338,20,104770.280000
2010,337,811,134572.411765
2010,337,22,122916.020408
2010,337,4,121640.734694
2010,353,1,183923.800000
2010,352,5,106302.423077
2010,352,3,104527.000000
2010,351,32,123113.548387
2010,351,24,128218.000000
2010,351,18,116458.409836
2010,350,13,86581.037736
2010,350,3,87066.301887
2010,349,153,122584.659091
2010,349,16,121667.318182
2010,347,10,82857.125000
2010,351,1,120800.171429
2010,350,5,90414.627451
2010,350,16,88499.884615
2010,350,808,87990.396226
2010,350,807,87120.452830
2010,350,18,86556.792453
2010,349,29,127491.400000
2010,349,5,125402.261905
2010,349,30,121814.000000
2010,349,18,120639.400000
2010,348,155,87954.434783
2010,348,5,90561.731343
2010,348,15,90574.985075
2010,348,24,88367.507246
2010,348,4,86905.600000
2010,343,155,92987.413793
2010,347,24,81108.169231
2010,347,30,79859.666667
2010,346,37,100499.413793
2010,346,9,100887.578947
2010,346,22,98262.615385
2010,346,3,98067.442308
2010,345,155,106325.192982
2010,345,153,106628.245614
2010,345,16,106311.210526
2010,345,808,106629.087719
2010,345,30,106638.543860
2010,344,37,84439.966667
2010,344,811,87320.076923
2010,344,4,80609.571429
2010,344,3,81279.142857
2010,354,24,78855.367347
2010,355,32,113420.754717
2010,337,812,154479.000000
2010,338,13,97086.534483
2010,339,808,103573.718750
2010,355,5,112558.925926
2010,355,13,109594.636364
2010,355,20,108669.763636
2010,354,155,80251.642857
2010,355,807,109847.272727
2010,354,9,80244.914286
2010,354,20,78757.788732
2010,354,1,78963.901408
2010,353,22,184910.309091
2010,353,13,184212.327273
2010,352,10,108250.431373
2010,352,155,103610.584906
2010,350,811,92565.636364
2010,355,4,109466.072727
2010,354,10,82096.811594
2010,354,808,80567.614286
2010,353,2,185107.581818
2010,353,67,240959.100000
2010,353,3,315301.666667
2010,352,17,102419.396226
2010,352,1,103149.396226
2010,351,9,117379.311475
2010,351,807,118137.213115
2010,351,17,116438.032787
2010,351,3,116770.049180
2010,351,30,118108.550000
2010,350,10,90367.666667
2010,350,29,91496.490196
2010,344,5,83894.235294
2010,339,67,101916.964286
2010,339,153,101768.107143
2010,339,155,104954.125000
2010,340,4,114536.285714
2010,340,808,115174.339286
2010,341,17,87031.833333
2010,341,4,87396.454545
2010,342,1,84842.538462
2010,342,9,84808.076923
2010,342,812,86844.132353
2010,343,18,91901.120690
2010,343,17,92274.224138
2010,343,812,97935.692308
2010,344,13,82550.304348
2010,344,9,81296.514286
2010,350,15,91372.717391
2010,346,18,98080.500000
2010,346,13,98955.557692
2010,346,807,98465.615385
2010,346,24,98474.211538
2010,347,18,78930.537313
2010,347,17,79141.343284
2010,347,4,78490.507463
2010,347,37,80348.257576
2010,348,30,88262.463768
2010,348,10,90972.910448
2010,348,810,92775.348485
2010,349,3,121741.522727
2010,349,9,121540.022727
2010,350,17,87091.471698
2010,350,67,87728.830189
2010,347,13,78553.134328
2010,343,15,96174.750000
2010,343,5,96471.848485
2010,344,30,82387.637681
2010,344,20,81018.185714
2010,344,807,82426.405797
2010,344,153,82415.000000
2010,345,4,106357.543860
2010,346,155,98276.365385
2010,343,22,93667.666667
2010,347,811,83980.317460
2010,347,810,84744.580000
2010,348,9,97269.652174
2010,348,153,104020.000000
2010,350,20,87033.358491
2010,351,155,118400.833333
2010,352,811,108280.980392
2010,352,2,103716.433962
2010,342,811,88129.250000
2010,342,5,87269.877193
2010,342,67,84891.717949
2010,342,808,84754.722222
2010,341,9,88148.151515
2010,340,153,115599.625000
2010,340,9,114721.000000
2010,340,17,115255.982143
2010,339,5,123228.159091
2010,339,3,100748.500000
2010,338,1,97352.224138
2010,337,5,127214.765957
2010,337,67,123725.782609
2010,344,16,82376.681159
2010,343,10,97145.545455
2010,345,812,109779.454545
2010,350,24,87748.641509
2010,350,30,87349.433962
2010,349,810,125450.190476
2010,349,24,122252.250000
2010,349,808,122002.704545
2010,349,20,123291.809524
2010,348,13,87043.500000
2010,348,20,86926.042857
2010,348,1,91389.086957
2010,347,29,86680.210526
2010,347,807,79979.939394
2010,346,153,99178.931818
2010,346,16,98444.846154
2010,346,1,97683.846154
2010,345,37,106613.771930
2010,352,30,103533.132075
2010,345,15,115135.301887
2010,345,67,106418.771930
2010,345,24,106674.754386
2010,345,1,105870.403509
2010,355,10,114398.604651
2010,355,2,109607.054545
2010,355,15,114943.450980
2010,355,153,109582.509091
2010,355,67,109818.454545
2010,355,16,109730.218182
2010,354,2,80585.471429
2010,354,4,78853.661972
2010,353,5,188288.277778
2010,353,9,184518.981818
2010,353,30,184372.690909
2010,348,16,90296.666667
2010,352,18,102657.452830
2010,351,153,117995.766667
2010,351,4,115960.311475
2010,351,20,115965.114754
2010,350,22,87712.924528
2010,349,10,125790.731707
2010,349,807,122815.952381
2010,349,17,121496.340909
2010,348,811,91409.955224
2010,355,17,109474.181818
2010,355,18,108870.618182
2010,354,32,87176.000000
2010,352,9,144370.500000
2010,348,29,93234.242424
2010,337,18,122564.816327
2010,337,1,122113.836735
2010,337,9,123050.795918
2010,337,37,125113.857143
2010,338,30,98033.137931
2010,339,20,100507.357143
2010,339,13,100990.714286
2010,339,807,101818.053571
2010,339,15,110894.941176
2010,340,13,115356.410714
2010,354,5,81994.492754
2010,351,15,135195.481481
2010,351,811,122569.034483
2010,352,4,102453.660377
2010,352,22,103739.037736
2010,352,16,105423.295455
2010,352,67,103776.018868
2010,353,4,183651.090909
2010,353,808,213624.897436
2010,353,24,184625.109091
2010,354,13,80557.600000
2010,354,807,80228.085714
2010,340,810,235357.875000
2010,354,811,82114.666667
2010,355,811,113166.566038
2010,355,810,113103.301887
2010,355,155,109752.636364
2010,354,16,80364.171429
2010,354,22,80547.428571
2010,353,29,191091.264151
2010,353,807,185121.109091
2010,353,20,199571.311111
2010,352,29,109403.800000
2010,352,153,104483.076923
2010,350,153,88491.923077
2010,346,810,105505.000000
2010,347,22,79970.106061
2010,347,9,79710.590909
2010,347,67,105623.000000
2010,348,807,87747.057143
2010,348,808,87696.614286
2010,348,37,87918.942029
2010,349,13,121648.454545
2010,349,67,122367.340909
2010,349,37,122279.250000
2010,349,155,121839.681818
2010,346,10,101567.000000
2010,351,22,116880.000000
2010,351,808,117960.316667
2010,351,16,118131.065574
2010,351,67,118183.816667
2010,351,2,120934.388889
2010,351,10,122970.857143
2010,351,810,121560.355932
2010,352,15,107658.352941
2010,353,810,265684.120000
2010,354,18,78977.408451
2010,354,15,82006.695652
2010,344,155,107208.000000
2010,341,30,87974.181818
2010,341,3,89247.384615
2010,341,16,88137.000000
2010,341,15,92535.126984
2010,342,4,84867.897436
2010,342,810,92278.652174
2010,343,3,92411.827586
2010,343,153,93024.482759
2010,343,810,97668.418182
2010,344,18,80510.142857
2010,344,812,85528.787879
2010,353,153,185181.018182
2010,344,810,86759.646154
2010,345,18,106004.017544
2010,345,3,106560.578947
2010,345,22,106231.543860
2010,345,9,106257.771930
2010,345,5,108711.000000
2010,345,10,110068.490909
2010,345,810,109283.178571
2010,346,30,98457.673077
2010,346,20,98364.115385
2010,346,808,98799.500000
2010,337,16,123333.755102
2010,339,22,103096.490909
2010,339,4,101208.166667
2010,339,1,100926.482143
2010,338,812,106003.283019
2010,338,9,97044.224138
2010,338,17,97997.413793
2010,337,10,130232.937500
2010,337,808,125841.769231
2010,337,17,122586.857143
2010,337,3,122461.408163
2010,337,30,122542.020408
2010,337,13,121969.285714
2010,337,807,125807.854167
2010,339,16,100883.410714
2010,337,24,122722.530612
2010,337,155,126358.545455
2010,339,812,107947.754717
2010,340,18,114324.339286
2010,340,20,114919.160714
2010,340,807,117846.127273
2010,340,5,117681.090909
2010,341,153,88819.815385
2010,351,13,117817.639344
2010,342,13,84820.782051
2010,342,22,88357.066667
2010,342,24,84880.256410
2010,344,22,82442.579710
2010,348,17,86651.014286
2010,348,3,89698.933333
2010,347,153,80612.984848
2010,347,808,79925.969697
2010,347,20,78566.940299
2010,346,67,98573.596154
2010,348,22,87980.260870
2010,346,4,98857.403846
2010,345,811,110325.490909
2010,345,807,107513.591837
2010,345,13,106599.859649
2010,345,20,105781.947368
2010,344,67,82296.159420
2010,342,30,85116.243590
2010,343,37,92992.482759
2010,342,155,89000.076923
2010,342,15,86576.323529
2010,341,810,93880.935484
2010,341,155,88941.046154
2010,341,67,90929.380952
2010,341,22,88682.738462
2010,341,13,88028.303030
2010,341,20,87809.681818
2010,339,810,107612.886792
2010,339,10,112405.500000
2010,339,811,108807.307692
2010,343,9,92421.448276
2010,350,810,91647.660000
2010,350,37,88358.000000
2010,350,9,87143.396226
2010,350,4,86501.358491
2010,349,811,149313.600000
2010,349,15,125974.214286
2010,349,4,118380.729730
2010,349,1,121460.636364
2010,348,67,88358.101449
2010,348,18,87962.102941
2010,347,155,79945.045455
2010,347,15,196051.666667
2010,342,153,84903.717949
2010,344,17,81039.242857
2010,344,15,87571.595238
2010,344,10,85921.240000
2010,346,15,101438.529412
2010,346,5,101443.450980
2010,347,1,78891.940299
2010,343,24,93628.175439
2010,343,16,92700.844828
2010,347,3,79811.227273
2011,843,17,104031.803571
2011,847,67,210379.900000
2011,845,5,94524.541667
2011,845,18,90590.878788
2011,844,816,97637.517857
2011,844,67,94602.620690
2011,844,808,94581.482759
2011,842,153,107329.236364
2011,847,30,209910.800000
2011,847,20,209746.371429
2011,850,30,99423.508475
2011,846,1,100071.576923
2011,846,13,82576.281250
2011,846,3,102553.421053
2011,846,4,99737.320513
2011,846,18,99753.217949
2011,846,20,99722.730769
2011,845,10,95668.888889
2011,845,22,93061.937500
2011,849,1,102888.115385
2011,857,816,95640.017544
2011,859,20,78231.647887
2011,859,16,79203.357143
2011,847,22,210352.200000
2011,848,13,105752.175439
2011,848,30,107630.714286
2011,848,153,106846.160714
2011,848,5,108870.454545
2011,848,15,109560.290909
2011,843,815,106098.800000
2011,850,13,98376.433333
2011,841,808,93117.568966
2011,841,16,94645.508772
2011,841,816,99528.111111
2011,841,22,96734.500000
2011,841,153,95244.263158
2011,842,10,108747.425926
2011,843,3,104137.035714
2011,843,814,105124.696429
2011,857,15,99245.272727
2011,852,13,119794.750000
2011,852,67,120538.833333
2011,852,814,120201.977273
2011,853,4,91756.245283
2011,853,813,93899.403846
2011,853,16,107258.000000
2011,854,20,117159.950820
2011,854,13,119139.100000
2011,854,813,119322.200000
2011,854,15,126622.191489
2011,859,817,82464.161765
2011,859,13,78932.352113
2011,859,1,79559.760870
2011,859,4,78486.084507
2011,858,13,106953.890909
2011,852,20,118293.022727
2011,857,22,94078.568966
2011,857,808,92773.338983
2011,857,30,91673.716667
2011,857,3,91697.550000
2011,857,4,90988.383333
2011,854,24,127208.140351
2011,855,18,102894.849057
2011,855,17,103047.132075
2011,855,30,103406.547170
2011,855,5,104551.905660
2011,855,22,104294.679245
2011,855,24,109184.360000
2011,856,3,107928.127273
2011,851,3,93546.898551
2011,845,814,92577.092308
2011,841,10,111482.387755
2011,842,20,104639.857143
2011,842,13,105299.821429
2011,842,808,105781.673077
2011,842,814,106274.910714
2011,842,39,112038.785714
2011,843,20,103989.714286
2011,843,39,109135.351852
2011,844,2,94455.431034
2011,844,16,95104.070175
2011,844,814,95705.909091
2011,844,5,96810.232143
2011,844,15,96208.228070
2011,845,13,92440.637931
2011,841,67,94363.245614
2011,845,16,92666.723077
2011,846,153,84995.348485
2011,846,5,102893.210526
2011,845,24,96448.071429
2011,847,813,230002.655738
2011,847,15,213946.550725
2011,847,153,210221.442857
2011,848,18,105898.842105
2011,848,2,107004.946429
2011,848,155,107366.035714
2011,848,39,112561.944444
2011,849,24,108062.820000
2011,851,15,107424.882353
2011,851,817,97841.378788
2011,855,10,107865.039216
2011,850,816,103195.175439
2011,850,812,105481.089286
2011,850,814,99915.932203
2011,851,153,93649.376812
2011,852,18,118512.772727
2011,852,24,123565.232558
2011,851,22,94460.220588
2011,854,17,117639.934426
2011,854,815,119177.550000
2011,854,67,119332.350000
2011,854,816,123189.915254
2011,855,20,102932.698113
2011,855,16,103922.150943
2011,850,5,101566.913793
2011,856,67,108086.472727
2011,856,817,110629.203704
2011,857,17,91008.850000
2011,857,67,94371.000000
2011,858,3,106985.509091
2011,858,816,113443.388889
2011,859,30,80058.785714
2011,859,153,79622.014286
2011,859,813,81585.346154
2011,859,67,79784.057143
2011,859,811,81249.028986
2011,858,813,108789.500000
2011,847,17,209905.214286
2011,841,155,93916.051724
2011,841,15,97384.571429
2011,842,17,105111.000000
2011,842,4,105305.000000
2011,843,16,105799.200000
2011,843,153,107747.111111
2011,843,24,109113.648148
2011,843,67,105516.017857
2011,844,30,94879.344828
2011,846,30,83076.625000
2011,846,155,100067.807692
2011,846,2,101281.805195
2011,858,67,111479.210526
2011,847,2,243031.618182
2011,847,16,262512.387755
2011,848,20,104845.070175
2011,848,4,105036.140351
2011,848,3,106565.947368
2011,848,16,106855.000000
2011,848,22,107216.892857
2011,849,155,111100.913043
2011,849,16,103863.615385
2011,849,22,104358.274510
2011,850,1,97505.566667
2011,848,1,105655.421053
2011,844,155,94751.362069
2011,847,814,216112.776119
2011,847,1,116644.285714
2011,846,15,102887.434211
2011,846,24,104285.333333
2011,846,39,105871.945946
2011,846,816,104241.800000
2011,846,67,101423.857143
2011,845,816,96110.951613
2011,845,1,90059.560606
2011,845,17,90776.772727
2011,845,20,90050.015152
2011,844,24,102357.207547
2011,847,10,213941.768116
2011,844,17,93558.017241
2011,843,10,108784.370370
2011,843,5,106036.800000
2011,843,2,105195.803571
2011,843,13,104179.750000
2011,843,1,103896.892857
2011,842,5,107336.781818
2011,842,813,110773.125000
2011,842,815,108356.391304
2011,842,30,106155.857143
2011,842,2,105087.625000
2011,841,814,95153.789474
2011,853,13,92248.396226
2011,858,16,107436.509091
2011,858,17,106684.909091
2011,857,815,92758.474576
2011,857,1,91986.416667
2011,856,15,109734.444444
2011,856,22,108637.490909
2011,855,817,107938.980392
2011,854,817,126074.035088
2011,854,808,122646.610169
2011,854,811,122010.338983
2011,854,30,118599.857143
2011,853,18,91618.150943
2011,841,13,94059.396552
2011,853,20,91437.207547
2011,852,15,121297.046512
2011,851,10,97245.136364
2011,851,13,92650.185714
2011,851,4,91745.085714
2011,851,20,91513.214286
2011,850,67,100555.830508
2011,849,816,107907.620000
2011,849,808,103882.250000
2011,848,24,110789.500000
2011,848,814,107274.607143
2011,847,816,213936.985507
2011,842,16,106450.196429
2011,849,20,102648.211538
2011,848,816,110230.000000
2011,847,37,210616.342857
2011,847,13,210182.314286
2011,846,10,84400.000000
2011,846,17,100018.897436
2011,845,15,93925.046875
2011,845,813,92770.476923
2011,845,153,93028.265625
2011,844,20,93406.172414
2011,843,813,106188.418182
2011,843,15,106439.527273
